time,ecg
729.5,0.546875
729.501,0.553125
729.502,0.540625
729.503,0.5375
729.504,0.553125
729.505,0.546875
729.506,0.53125
729.507,0.528125
729.508,0.540625
729.509,0.53125
729.51,0.515625
729.511,0.528125
729.512,0.509375
729.513,0.521875
729.514,0.5
729.515,0.503125
729.516,0.515625
729.517,0.496875
729.518,0.50625
729.519,0.5
729.52,0.49375
729.521,0.4875
729.522,0.50625
729.523,0.4875
729.524,0.484375
729.525,0.496875
729.526,0.475
729.527,0.503125
729.528,0.465625
729.529,0.4875
729.53,0.4625
729.531,0.48125
729.532,0.478125
729.533,0.465625
729.534,0.475
729.535,0.465625
729.536,0.50625
729.537,0.5
729.538,0.503125
729.539,0.490625
729.54,0.515625
729.541,0.490625
729.542,0.53125
729.543,0.525
729.544,0.5125
729.545,0.50625
729.546,0.503125
729.547,0.459375
729.548,0.44375
729.549,0.478125
729.55,0.49375
729.551,0.503125
729.552,0.525
729.553,0.55
729.554,0.528125
729.555,0.540625
729.556,0.521875
729.557,0.515625
729.558,0.484375
729.559,0.45
729.56,0.396875
729.561,0.34375
729.562,0.325
729.563,0.3375
729.564,0.359375
729.565,0.359375
729.566,0.384375
729.567,0.378125
729.568,0.43125
729.569,0.45
729.57,0.471875
729.571,0.45625
729.572,0.440625
729.573,0.4625
729.574,0.503125
729.575,0.559375
729.576,0.590625
729.577,0.66875
729.578,0.746875
729.579,0.859375
729.58,0.925
729.581,1.0125
729.582,1.059375
729.583,1.146875
729.584,1.228125
729.585,1.315625
729.586,1.365625
729.587,1.440625
729.588,1.54375
729.589,1.625
729.59,1.715625
729.591,1.790625
729.592,1.9125
729.593,1.978125
729.594,2.053125
729.595,2.084375
729.596,2.059375
729.597,1.940625
729.598,1.853125
729.599,1.7875
729.6,1.625
729.601,1.45
729.602,1.33125
729.603,1.246875
729.604,1.153125
729.605,1.090625
729.606,0.959375
729.607,0.9
729.608,0.771875
729.609,0.690625
729.61,0.6125
729.611,0.528125
729.612,0.434375
729.613,0.3875
729.614,0.346875
729.615,0.303125
729.616,0.271875
729.617,0.2375
729.618,0.23125
729.619,0.196875
729.62,0.221875
729.621,0.171875
729.622,0.18125
729.623,0.196875
729.624,0.228125
729.625,0.240625
729.626,0.24375
729.627,0.253125
729.628,0.303125
729.629,0.296875
729.63,0.3
729.631,0.340625
729.632,0.328125
729.633,0.365625
729.634,0.359375
729.635,0.378125
729.636,0.353125
729.637,0.36875
729.638,0.359375
729.639,0.340625
729.64,0.35625
729.641,0.3625
729.642,0.365625
729.643,0.36875
729.644,0.384375
729.645,0.359375
729.646,0.38125
729.647,0.378125
729.648,0.365625
729.649,0.3625
729.65,0.371875
729.651,0.365625
729.652,0.4125
729.653,0.44375
729.654,0.415625
729.655,0.428125
729.656,0.440625
729.657,0.459375
729.658,0.46875
729.659,0.478125
729.66,0.478125
729.661,0.5125
729.662,0.496875
729.663,0.48125
729.664,0.471875
729.665,0.465625
729.666,0.440625
729.667,0.45
729.668,0.428125
729.669,0.40625
729.67,0.428125
729.671,0.378125
729.672,0.378125
729.673,0.375
729.674,0.384375
729.675,0.371875
729.676,0.38125
729.677,0.415625
729.678,0.4375
729.679,0.440625
729.68,0.44375
729.681,0.478125
729.682,0.45625
729.683,0.440625
729.684,0.39375
729.685,0.428125
729.686,0.434375
729.687,0.434375
729.688,0.478125
729.689,0.459375
729.69,0.43125
729.691,0.409375
729.692,0.415625
729.693,0.403125
729.694,0.39375
729.695,0.3875
729.696,0.41875
729.697,0.415625
729.698,0.415625
729.699,0.38125
729.7,0.403125
729.701,0.38125
729.702,0.409375
729.703,0.40625
729.704,0.403125
729.705,0.428125
729.706,0.446875
729.707,0.4375
729.708,0.446875
729.709,0.459375
729.71,0.421875
729.711,0.440625
729.712,0.425
729.713,0.40625
729.714,0.359375
729.715,0.359375
729.716,0.35
729.717,0.3375
